Date,Open,High,Low,Close,Volume
2013-02-19,1007.87,1013.12,1005.52,1011.33,929550000
2013-02-20,1016.16,1021.59,1013.48,1021.05,897890000
2013-02-21,1013.92,1016.08,1005.62,1007.13,977850000
2013-02-22,1006.06,1016.86,1005.19,1014.25,1340000000
2013-02-26,1011.98,1012.78,999.94,1004.67,1230000000
2013-02-27,1007.75,1009.74,994.37,994.37,981140000
2013-02-28,1002.02,1014.03,996.91,1014.03,1240000000
2013-03-01,1015.48,1020.35,1010.77,1013.15,995980000
2013-03-04,1013.8,1016.38,1007.79,1014.2,1110000000
2013-03-05,1021.47,1023.53,1016.49,1018.94,1270000000
2013-03-06,1025.15,1026.51,1020.77,1024.14,996000000
2013-03-07,1024.64,1025.61,1018.73,1022.64,1610000000
2013-03-08,1029.83,1031.31,1022.68,1025.72,1550000000
2013-03-11,1029.98,1035.21,1027.51,1032.33,1820000000
2013-03-12,1035.11,1037.14,1028.02,1032.74,1390000000
2013-03-13,1033.34,1035.8,1027.74,1033.34,1060000000
2013-03-14,1031.59,1038.59,1028.59,1038.12,1320000000
2013-03-15,1044.45,1046.88,1040.68,1045.26,2060000000
2013-03-18,1038.18,1043.78,1037.04,1041.27,1610000000
2013-03-19,1045.86,1047.64,1021.25,1029.44,2220000000
2013-03-20,1029.96,1030.86,1012.07,1016.01,2090000000
2013-03-21,1018.36,1019.66,1005.11,1008.14,1800000000
2013-03-22,1003.43,1007.47,971.25,977.04,2870000000
2013-03-25,987.29,1004.66,984.44,1002.43,1300000000
2013-03-26,1002.53,1018.49,997.63,1015.99,1280000000
2013-03-27,1021.61,1032.72,1020.81,1025.96,1110000000
2013-03-28,1022.91,1025.95,1012.06,1014.98,1560000000
2013-03-29,1021.29,1029.33,1020.78,1024.92,1010000000
2013-04-01,1024.99,1025.31,1016.9,1017.35,642380000
2013-04-02,1020,1024.49,1012.04,1021.89,780040000
2013-04-03,1027.22,1030.26,1003.4,1004.67,1120000000
2013-04-04,982.66,1010.71,980.91,1010.71,1130000000
2013-04-05,1000.06,1001.92,980.14,982.48,915020000
2013-04-09,985.86,986.63,968.9,971.41,661340000
2013-04-10,975.04,984.77,962.05,984.77,748340000
2013-04-11,991.67,1002.08,984.55,1002.02,808000000
2013-04-12,1003.52,1010.6,999.42,1007.45,633090000
2013-04-17,1005.11,1015.62,1001.27,1003.73,1070000000
2013-04-18,1003.23,1009.05,994.49,1008.83,894840000
2013-04-19,1012.14,1022.82,1009.19,1018.36,1160000000
2013-04-22,1027.66,1028.66,1017.66,1027.92,1140000000
2013-04-23,1025.61,1031.38,1018.81,1021.18,1010000000
2013-04-24,1026,1029.32,1021.68,1024.94,1220000000
2013-04-25,1026.64,1040.12,1025.54,1039.46,1100000000
2013-04-26,1044.99,1048.69,1039.59,1044.82,868720000
2013-04-29,1049.61,1051.96,1039.44,1046.12,1070000000
2013-04-30,1051.99,1055.62,1046.08,1055.62,903800000
2013-05-02,1058.74,1059.98,1049.64,1050.48,1220000000
2013-05-03,1054.92,1056.83,1040.99,1042.7,1110000000
2013-05-07,1049.43,1061.37,1038.83,1061.37,909320000
2013-05-08,1066.68,1076.58,1064.76,1071.05,1090000000
2013-05-09,1073.77,1079.77,1067.7,1075.95,1200000000
2013-05-10,1076.64,1079.54,1070.14,1076.13,958690000
2013-05-13,1074.94,1077.93,1065.12,1071.68,902800000
2013-05-14,1073.3,1079.77,1072.37,1074.35,927670000
2013-05-15,1080.46,1084.09,1078.51,1081.13,882810000
2013-05-16,1083.05,1084.81,1067.9,1072.89,1220000000
2013-05-17,1070.43,1083.13,1067.09,1079.78,939570000
2013-05-20,1086.04,1094.62,1085.41,1092.27,1060000000
2013-05-21,1093.31,1096.29,1088.24,1091.2,1050000000
2013-05-22,1089.41,1094.6,1081.2,1081.69,1470000000
2013-05-23,1075.66,1079.68,1048.25,1064.49,1790000000
2013-05-27,1057.67,1058.02,1047.82,1053.5,1200000000
2013-05-28,1053.45,1072.57,1052.52,1072.57,1130000000
2013-05-29,1070.85,1075.93,1056.93,1058.59,1240000000
2013-05-30,1048.9,1056.26,1041.47,1044.4,1060000000
2013-05-31,1049.86,1054.27,1024.14,1029.01,1820000000
2013-06-03,1025.82,1032.75,1012.13,1015.37,1310000000
2013-06-04,1019.41,1029.97,1005.27,1028.91,1220000000
2013-06-05,1022.27,1024.18,1005.65,1005.65,993340000
2013-06-06,997.2,999.82,983.87,989,2070000000
2013-06-07,985.3,1008.31,984.49,1007.39,1470000000
2013-06-10,1018.07,1023.03,1012.23,1014.27,639050000
2013-06-11,1006.4,1006.81,958.82,962.73,1340000000
2013-06-12,950.74,969.52,942.5,950.87,1430000000
2013-06-13,917.91,944.58,903.24,938.26,2160000000
2013-06-14,964.89,979.08,962.14,978.87,1500000000
2013-06-17,982.57,985.27,966.77,982.16,897270000
2013-06-18,980.64,997.14,950.53,950.53,1230000000
2013-06-19,962.23,966.1,942.3,960.32,1120000000
2013-06-20,932.01,944.24,927.56,937.44,1340000000
2013-06-21,921.76,945.86,907.93,940.65,1900000000
2013-06-24,932.75,943.78,916.55,916.55,1030000000
2013-06-25,923.73,941.53,899.82,934.24,1570000000
2013-06-26,945.77,963.07,937.81,961.98,1480000000
2013-06-27,981.25,989.45,958.05,978.96,1450000000
2013-06-28,992.16,994.32,978.22,982.99,1280000000
2013-07-02,992.28,1000.2,983.65,992,1140000000
2013-07-03,984.84,992.06,969.35,977,1400000000
2013-07-04,981.96,984.4,964.01,969,1660000000
2013-07-05,978.22,980.64,969.26,977.53,892180000
2013-07-08,965.5,970.15,952.14,952.19,1200000000
2013-07-09,954.46,963.5,948.47,949.11,1510000000
2013-07-10,951.65,955.69,936.62,946.66,1480000000
2013-07-11,962.41,989.22,961.68,989.22,1510000000
2013-07-12,993.97,997.49,984,991.6,1120000000
2013-07-15,999.2,999.53,986.02,989.99,1050000000
2013-07-16,987.71,990.11,975.11,986.45,964170000
2013-07-17,991.46,995.97,986.21,991.41,873100000
2013-07-18,995.6,1011.41,994.48,1010.46,1320000000
2013-07-19,1011.56,1011.68,1000.5,1004.94,1300000000
2013-07-23,1019.6,1027.39,1015.78,1027.39,1330000000
2013-07-24,1026,1030.2,1014.77,1017.9,1430000000
2013-07-25,1012.12,1013.16,987.38,987.42,1690000000
2013-07-26,991.02,1002.93,979.99,1002.93,1200000000
2013-07-29,991.43,992.46,983.72,986.13,921980000
2013-07-30,989.77,994.44,971.42,971.85,802950000
2013-07-31,972.71,973.39,950.19,966.03,1250000000
2013-08-01,977,982.59,967.23,977.47,864120000
2013-08-02,979.06,980.66,956.64,966.98,1320000000
2013-08-05,963.99,973.03,956.15,970.19,685270000
2013-08-06,960.71,981.92,958.45,973.34,895430000
2013-08-07,966.2,977.1,963.85,972.45,901080000
2013-08-08,979.25,990.36,978.6,983.96,1070000000
2013-08-09,982.35,982.59,969.07,969.7,875680000
2013-08-13,977.87,989.86,976.77,989.86,1230000000
2013-08-14,987.88,993.13,985.17,992.98,932690000
2013-08-15,991.22,993.37,982.93,986.83,1110000000
2013-08-16,978.05,986.18,977.47,981.08,1320000000
2013-08-19,974.73,975.58,947.7,947.7,1540000000
2013-08-20,934.72,935.88,917.1,931.47,2090000000
2013-08-21,919.68,932.88,917.99,918.82,1960000000
2013-08-22,908.93,922.74,898.52,919.82,2190000000
2013-08-23,932.17,933.35,908.58,908.97,2230000000
2013-08-26,916.89,922.14,902.92,903.47,1460000000
2013-08-27,897.88,898.94,880.72,883.9,1850000000
2013-08-28,869.63,888,861.97,873.62,2380000000
2013-08-29,878.46,886.76,870.93,885.07,1380000000
2013-08-30,891.07,891.51,876.91,882.98,1250000000
2013-09-02,886.37,903.5,883.75,903.5,1440000000
2013-09-03,902.41,910.35,894.81,898.13,1370000000
2013-09-04,894.57,900.52,887.77,889.33,968680000
2013-09-05,893.49,906.88,891.07,897.31,1040000000
2013-09-06,898.14,914.73,895.61,913.56,947780000
2013-09-09,927.07,951.35,926.11,951.35,1460000000
2013-09-10,958.49,972.79,950.23,957.77,3170000000
2013-09-11,958.41,970.42,946.86,970.21,1690000000
2013-09-12,971.36,977.18,956.7,956.7,1380000000
2013-09-13,949.98,968.34,948.8,957.25,1670000000
2013-09-16,979.25,989.53,978.52,989.37,2330000000
2013-09-17,988.25,992.52,982.14,988.56,1600000000
2013-09-18,987.38,993.04,977.35,982.43,1540000000
2013-09-19,1017.26,1023.56,1012.11,1019.09,2330000000
2013-09-20,1014.36,1018.72,1008.02,1017.3,1770000000
2013-09-23,1006.56,1007.03,979.86,983.2,1570000000
2013-09-24,979.03,986.31,967.53,968.7,1290000000
2013-09-25,971,982.96,964.59,982.96,1090000000
2013-09-26,973.21,985.46,972.51,973.13,1000000000
2013-09-27,979.3,981.39,964.39,967.51,857700000
2013-09-30,953.89,954.31,939.86,940.88,881940000
2013-10-01,945.59,962.34,939.43,959.71,1060000000
2013-10-02,960.43,964.7,953.55,959.29,709230000
2013-10-03,966.44,977.89,965.92,974.66,1290000000
2013-10-04,969.8,975.84,966.29,973.12,953950000
2013-10-07,970.57,976.52,962.3,962.87,1380000000
